place_id,name,rating,user_ratings_total,current_opening_hours,postcode,location_lat,location_lng,viewport_northeast_lat,viewport_northeast_lng,viewport_southwest_lat,viewport_southwest_lng
ChIJW5DBD5sN2jERGqEgoyFtJ1E,SIREH Park Corporate Office,4.5,2.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",79100,1.4739195,103.6417079,1.475318329892722,103.6430184298927,1.472618670107278,103.6403187701073
ChIJHxMkzt4S2jERiFxIz1n_koA,Johor Petroleum Development Corporation Berhad,4.7,6.0,,80300,1.4629805,103.7719136,1.464001979892722,103.7732624798927,1.461302320107278,103.7705628201073
ChIJ7QPYPyxs2jERVQ7D2e2vPto,The Q Business Centre,0.0,0.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81100,1.5654235,103.7774709,1.566736729892722,103.7788463798927,1.564037070107278,103.7761467201073
ChIJ39T_PmIT2jERi0s2b_b-OW0,Johor Corporation,4.5,2.0,"['Monday: 8:00\u202fAM\u2009–\u20095:15\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:15\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:15\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:15\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:00\u202fAM\u2009–\u20095:15\u202fPM']",80000,1.4637315,103.7629541,1.464886629892722,103.7641135298927,1.462186970107278,103.7614138701073
ChIJ1aor-0AT2jERmeCmIDwxXhk,Menara Landmark Johor Bahru,4.2,19.0,"['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",80000,1.4652735,103.7596854,1.466720529892722,103.7611835798927,1.464020870107278,103.7584839201073
ChIJedUd3Xdt2jERrWCMU1Uoo_E,Minde Group,3.7,6.0,"['Monday: 8:45\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:45\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:45\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:45\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:45\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81100,1.5463976,103.7807899,1.547716079892722,103.7821571798927,1.545016420107278,103.7794575201073
ChIJg9aNAk9u2jER4NX5MXtYUq0,Forreststone Corporate Advisory Group,5.0,1.0,,81100,1.5831877,103.7602226,1.584535079892722,103.7616308798927,1.581835420107278,103.7589312201073
ChIJF4IAbXBt2jERPc4YawKL3QM,Wentel Corporation Sdn. Bhd.,3.9,47.0,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Closed']",81300,1.5436436,103.6896517,1.545502179892722,103.6910322798927,1.542802520107278,103.6883326201073
ChIJFXkEPVlv2jER8cXQfJsoDQ0,SWM Environment Sdn. Bhd. Regional Office (Johor South),2.8,20.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: 8:30\u202fAM\u2009–\u20095:30\u202fPM']",81100,1.5621348,103.7344407,1.563446829892722,103.7357580298927,1.560747170107278,103.7330583701073
ChIJkeSEYYhu2jER76F2PeTRPzQ,LiveSmart Asia Manhattan Johor,5.0,2.0,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81100,1.5628348,103.7779706,1.564147129892722,103.7792590798927,1.561447470107278,103.7765594201073
ChIJoUOxuk1z2jERm2TQOm29YFw,Marin Selatan Sdn. Bhd. (Johor Office),5.0,1.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81200,1.4803613,103.6499404,1.481698579892722,103.6512608798927,1.478998920107278,103.6485612201073
ChIJ4bH7E8IS2jERGbGAUud1KDs,Austin Heights Sdn. Bhd.,5.0,1.0,"['Monday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",80000,1.4598809,103.7589926,1.461334179892722,103.7603978798927,1.458634520107278,103.7576982201073
ChIJD3rMT2x62jERLoQ8Px0veGc,Senai Airport City Sdn Bhd,4.2,24.0,"['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81400,1.5953355,103.6780554,1.596680079892722,103.6793969298927,1.593980420107278,103.6766972701073
ChIJQ9HdzK1y2jERDLDOVKx7xdE,Iskandar Waterfront Holdings,2.4,13.0,"['Monday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",80200,1.4828157,103.7187146,1.484124179892722,103.7200956298927,1.481424520107278,103.7173959701073
ChIJiVohTTRs2jERFxy3bAKFpRs,Pembinaan Eastern Aluminium Sdn Bhd (Known as Eastern Group of Companies),4.3,3.0,"['Monday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",81100,1.5360837,103.7789422,1.537389579892722,103.7803437298927,1.534689920107278,103.7776440701073
ChIJw-rr5lBs2jERxSD1UN7uXyk,Rockwills Johor Regional Office,4.4,12.0,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",81300,1.5464631,103.705843,1.547813429892722,103.7071925798927,1.545113770107278,103.7044929201073
